PROJECT IDEA,TOOL CATEGORY,SUGGESTED TOOLS,MARKETING FUNCTION,INPUTS NEEDED,EXPECTED OUTPUT,STARTER PROMPT OR INSTRUCTIONS
Track customer expansion opportunity signals in support tickets,ENRICHMENT & SIGNALS,Clay,CAMPAIGNS & OUTREACH,"Customer domain list, product categories",Automated customer expansion opportunity alerts,"1. Add your existing customers to Clay
2. Connect your support tool to Clay
3. Make a ""Claygent"" column with the prompt: ""Does this support message indicate expansion potential? Look for phrases related to adding users, new teams, integrations, or advanced feature usage. Respond with one of: ""Expansion signal"", ""Neutral"", or ""No signal""
3. Once an expansion signal is detected, trigger a Slack alert to the CSM/account owner and enrich the contact/account in your CRM with ticket info"
Extract insights from competitor reviews automatically,ENRICHMENT & SIGNALS,Clay,COMPETITIVE INTELLIGENCE,Competitor names,Competitive weakness analysis from reviews,"1. Set up Clay table with competitors; add urls for each competitor to a column
2. Use Clay's built in G2/Capterra integrations review scraping or the web scraping enrichment feature in Clay
3. Add a Claygent summary column: ""Top 5 opportunities based on competitor weaknesses""
4. Export insights for product team"
Set up social listening to help you generate content ideas,ENRICHMENT & SIGNALS,Clay,CONTENT CREATION,"Keywords or topics to monitor, plus relevant socials & domains
","A list of social posts mentioning your keywords with links, and content ideas generated from those posts","1. Use web scraping or enrichment to pull recent social content that matches your keywords. 
2. Enrich each post with associated contact info (person or company). 
3. Add a Claygent column: “Based on this post and the contact’s role/company, suggest a content idea we could create in response or inspired by this trend.”"
Track competitor pricing changes automatically,ENRICHMENT & SIGNALS,Clay,COMPETITIVE INTELLIGENCE,Competitor domains and pricing page URLs,Automated competitive pricing tracking system,"1. Set up Clay table with links to competitor pricing pages
2. Use Clay's site website monitoring to track changes
3. AI analysis: ""Extract pricing changes and summarize impact on our positioning""
4. Set up alerts for significant changes
5. Generate monthly pricing intelligence report in ChatGPT based on the results"
Research competitors and generate battlecards,ENRICHMENT & SIGNALS,Clay,SALES ENABLEMENT,List of 3-5 competitor domains,Structured competitive battlecards for 5+ competitors,"1. Add competitor domains to Clay table
2. Add company enrichment waterfall to gather basic info
3. Claygent column: ""Extract from homepage: main value prop (1 sentence), top 3 features, pricing if visible, target customer description""
4. Competitive analysis column: ""Compare to our company and identify: where we win, where they win, key differentiator""
5. Export structured battlecard data and/or use ChatGPT to make battlecard"
Monitor job changes at target companies,ENRICHMENT & SIGNALS,Clay,COMPETITIVE INTELLIGENCE,Competitor company list,Automated competitive hiring intelligence system,"1. Set up Clay table with competitors
2. Create custom signal tracking job postings
3. Track: New roles, team growth, skill requirements
4. AI analysis: ""What do these hiring patterns reveal about strategy?""
5. Weekly summary to Slack channel"
Update and clean target account or contact database,ENRICHMENT & SIGNALS,Clay,CAMPAIGNS & OUTREACH,Existing contact list (even if outdated),Clean updated CRM data with re-engagement plan,"1. Import your target account or contact list into Clay using a CSV or CRM integration. Include whatever data you have, even if it’s outdated.
2. Add enrichment columns to fill in missing or stale data, like company name, role, current title, LinkedIn URL, and email validity.
3. Use AI formulas or enrichment to identify changes, such as contacts who have left the company or changed roles.
4. For accounts where contacts have left or gone inactive, use Clay to find new relevant contacts in similar roles or functions.
5. Add a Claygent column to generate re-engagement ideas or outbound message drafts based on updated contact and company context."
Monitor target accounts for buying signals,ENRICHMENT & SIGNALS,Clay,CAMPAIGNS & OUTREACH,Target account list with domains,Automated account intelligence and buying signal detection,"1. Add target account and/or list to Clay (or integrate with CRM)
2. Add enrichments for whatever you want to track: LinkedIn company updates, recent news, employee changes, job postings
3. Set up monitoring for: funding announcements, leadership changes, growth indicators, relevant technology mentions
4. AI summary: ""Identify buying signals and prioritize by urgency""
5. Auto-notify sales team via Slack"
Build automated customer logo library,ENRICHMENT & SIGNALS,Clay,CONTENT CREATION,Customer domain list from CRM export,Self-updating customer logo repository organized by tier,"1. Import customer domains from CRM
2. Use Clay enrichment to find company logos
3. Add classification: company size, industry
4. Auto-categorize by tier (enterprise, mid-market, SMB)
5. Export to organized Google Drive folder structure
6. Use design or web tools to make logo walls for decks or site"
Monitor competitor website changes automatically,ENRICHMENT & SIGNALS,Clay,COMPETITIVE INTELLIGENCE,List of competitor URLs,Automated competitive website monitoring system,"1. Set up Clay table with competitor domains
2. Use website monitoring feature for pricing/features pages
3. AI analysis: ""Summarize what changed and potential competitive impact""
4. Set up Slack alerts for significant changes
5. Generate weekly digest report"
